ltl,en
~   ( red room ) U ( landmark three ),go to landmark three by avoiding the red room and then stay there or continue to the red room .
F ( first floor & F ( green room ) ),move to the green room but ensure to go to the second floor first .
F ( first floor & ~  orange room ),go to the first floor without going to the orange room .
F ( third floor & ~  landmark three ),go to the third floor but avoid landmark three .
F ( first floor & F ( blue room ) ),go from second floor to blue room .
F ( blue room & F ( red room ) ),"go through the blue room first , then go to the red room ."
F ( orange room & ~  purple room ),go to the orange room without going to the purple room
F ( third floor & F ( first floor ) ),always go from the third floor to the first floor .
F ( blue room & F ( third floor ) ),go to the onest floor through the blue room
F ( landmark two ) & G ( orange room ),go to landmark two by only navigating within the orange room .
F ( second floor & F ( blue room ) ),go through the second floor and navigate to the blue room .
F ( landmark two & ~  red room ),always avoid the red room and go to landmark two .
~   ( yellow room ) U ( landmark one ),avoid the yellow room until reaching landmark one .
~   ( orange room ) U ( green room ),go to the green room but do not enter the orange room first .
F ( first floor & F ( red room ) ),navigate to the first floor before going to the red room .
F ( landmark one ) & G ( third floor ),go to landmark one without going to third floor .
~   ( landmark one ) U ( green room ),go to or through the green room always avoid going to the green room through landmark one
~   ( red room ) U ( landmark one ),"go to landmark one , avoid the red room until you have been to the landmark ."
F ( landmark one ) & G ( first floor ),go to landmark one without going to first floor .
F ( landmark three & F ( second floor ) ),navigate through landmark three to the second floor .
F ( yellow room ) & G ( first floor ),stay on the first floor while going to the yellow room .
F ( third floor & F ( orange room ) ),"go to the second floor , then go to the orange room"
F ( purple room & F ( orange room ) ),move to the purple room then continue to the orange room .
F ( orange room & F ( purple room ) ),"go through the orange room first , then go to the purple room ."
F ( third floor & F ( orange room ) ),"go to the third floor , then go to the orange room ."
~   ( landmark three ) U ( purple room ),go through the purple room before going to landmark three
F ( orange room & ~  landmark one ),always avoid landmark one and go to the orange room .
~   ( orange room ) U ( third floor ),go to the third floor . if you reached the third floor then you may go to the orange room .
F ( yellow room & F ( landmark one ) ),go to the yellow room before you go to landmark one .
F ( yellow room & F ( red room ) ),go to the red room through the yellow room
~   ( landmark one ) U ( red room ),go to the red room by avoiding landmark one and then stay in the red room or continue to landmark one
F ( purple room & F ( third floor ) ),go to the third floor by first going through the purple room .
F ( blue room & F ( yellow room ) ),"head to the yellow room , but make sure to go through the blue room first ."
~   ( landmark one ) U ( green room ),go to or through the green room . always avoid going to the green room through landmark one
F ( red room & ~  landmark one ),always avoid landmark one and go to the red room .
F ( yellow room & ~  purple room ),"avoid the purple room , navigate to the yellow room ."
F ( second floor & F ( blue room ) ),go to the second floor then go to the blue room
F ( landmark two ) & G ( orange room ),do n't leave the orange room and go to landmark two .
F ( landmark one ) & G ( third floor ),avoid the first floor and the third floor and go to landmark one .
F ( red room ) & G ( second floor ),go to the red room without going to another floor .
F ( purple room & F ( orange room ) ),always go through the purple room to get to the orange room .
F ( landmark one & F ( landmark three ) ),always pass landmark one before landmark three .
~   ( green room ) U ( yellow room ),avoid the green room until you enter the yellow room .
F ( third floor & ~  green room ),avoid the green room and go to the third floor .
F ( green room & F ( first floor ) ),go to the onest floor through the green room
F ( third floor & F ( landmark two ) ),move to the third floor and then head to landmark two .
F ( third floor & F ( blue room ) ),go from the second floor to the blue room
F ( first floor & F ( green room ) ),"from the first floor , navigate to the green room ."
F ( landmark three ),go to the landmark three
~   ( purple room ) U ( landmark three ),avoid the purple room until passing landmark three .
F ( landmark three & F ( orange room ) ),go to the orange room through landmark three
F ( second floor & F ( first floor ) ),visit the second floor and then proceed to the first floor .
~   ( red room ) U ( blue room ),go to or through the blue room always avoid going to the blue room through the red room
~   ( green room ) U ( third floor ),avoid the green room until reaching the third floor .
F ( yellow room & F ( first floor ) ),go through the yellow room then to the first floor .
F ( landmark three & F ( yellow room ) ),go to the yellow room by first going through landmark three .
F ( second floor & ~  orange room ),go to the second floor but avoid the orange room .
F ( third floor & F ( landmark two ) ),go to onest floor . then go directly to landmark two
F ( second floor & ~  landmark one ),navigate to the second floor but do n't ever go to landmark one .
F ( landmark three ) & G ( blue room ),go to landmark three by only navigating within the blue room .
F ( landmark one ) & G ( red room ),stay in the red room to navigate to landmark one .
F ( second floor & ~  green room ),avoid the green room
F ( yellow room & F ( second floor ) ),"move to the second floor , travelling through the yellow room ."
F ( orange room & ~  landmark two ),always avoid landmark two and go to the orange room .
F ( blue room & F ( red room ) ),go through the blue room before going to the red room .
~   ( red room ) U ( yellow room ),go to the yellow room without going through the red room .
F ( blue room ) & G ( first floor ),go to the blue room without going to another floor .
F ( blue room & F ( green room ) ),go through the blue room to the green room .
F ( green room & F ( purple room ) ),"go to the green room , then go to the purple room ."
F ( first floor & F ( purple room ) ),navigate from the first floor to the purple room .
~   ( red room ) U ( landmark three ),move to landmark three without entering the red room . then you may stay at landmark three or go to the red room .
F ( landmark one & F ( first floor ) ),go through landmark one to the first floor .
~   ( yellow room ) U ( orange room ),go to the orange room and if you have reached the orange room you may proceed to the yellow room or stay in the orange room .
~   ( yellow room ) U ( landmark two ),avoid the yellow room until you go to landmark two .
F ( yellow room & F ( third floor ) ),"go to the yellow room , then go to the third floor ."
F ( first floor & F ( second floor ) ),go to the first floor then the second floor .
~   ( purple room ) U ( landmark three ),avoid the purple room until you go to landmark three .
F ( third floor & F ( orange room ) ),head to the orange room but first go to the third floor .
F ( landmark one ),go to landmark one
F ( first floor & ~  orange room ),always avoid the orange room while navigating to the first floor .
~   ( landmark one ) U ( landmark three ),proceed to landmark three but avoid landmark one on the way . if you have reached landmark three then you can proceed to landmark one .
F ( orange room & ~  landmark three ),go to the orange room and avoid landmark three .
F ( purple room & F ( green room ) ),go to the green room by first going through the purple room .
F ( landmark one & F ( red room ) ),navigate through landmark one and go to the red room .
F ( landmark three & F ( landmark two ) ),go through landmark three then go to landmark two .
F ( third floor & F ( landmark one ) ),go from the onest floor to landmark one
F ( blue room ) & G ( first floor ),go to the blue room without ever leaving the first floor .
F ( green room & F ( landmark one ) ),go to the green room and then go to landmark one .
F ( third floor & ~  orange room ),avoid the orange room and go to the third floor .
F ( landmark one & ~  yellow room ),advance to landmark one but always avoid the yellow room .
~   ( yellow room ) U ( orange room ),avoid the yellow room until after you 've gone to the orange room .
~   ( purple room ) U ( green room ),avoid the purple room until going to the green room .
~   ( yellow room ) U ( third floor ),avoid the yellow room until you navigate to the third floor .
~   ( orange room ) U ( second floor ),avoid the orange room until after going to the second floor .
F ( purple room & F ( second floor ) ),visit the purple room and then move to the second floor .
~   ( landmark three ) U ( landmark two ),go to landmark two but do not first pass through landmark three .
F ( landmark two & F ( yellow room ) ),first go to to landmark two then go to the yellow room .
F ( landmark one ) & G ( green room ),go to landmark one and remain within the green room .
~   ( purple room ) U ( landmark two ),move to landmark two without entering the purple room . then you may stay at landmark two or go to the purple room .
F ( third floor & F ( landmark two ) ),go to landmark two through the onest floor
F ( yellow room & F ( third floor ) ),go through the yellow room and navigate to the third floor .
F ( landmark three & F ( third floor ) ),always pass landmark three to get to level one .
F ( landmark two & F ( red room ) ),first move to landmark two then navigate to the red room .
F ( landmark three & F ( red room ) ),go to the red room through landmark three .
~   ( green room ) U ( landmark one ),avoid the green room until you navigate to landmark one .
F ( third floor & ~  landmark two ),always avoid landmark two and go to the third floor .
~   ( red room ) U ( landmark one ),"avoid the red room and go to landmark one. if you reached the green room , you can now go to the red room or stay on landmark one ."
~   ( yellow room ) U ( landmark two ),go to landmark two avoiding the yellow room . then go to the yellow room or stay on landmark two .
F ( landmark two & F ( purple room ) ),first go to to landmark two then go to the purple room .
F ( landmark three ) & G ( first floor ),go to landmark three while avoiding going through any other objects
F ( second floor & F ( landmark two ) ),navigate to landmark two through the second floor .
F ( second floor & ~  purple room ),go to the second floor but never go to the purple room .
F ( landmark two ) & G ( third floor ),move to landmark two without leaving the third floor .
F ( green room & F ( landmark one ) ),go to landmark one through the green room .
F ( green room ) & G ( first floor ),navigate to the green room staying on the first floor .
F ( orange room & F ( yellow room ) ),go to the yellow room by touching the orange room .
F ( second floor & F ( green room ) ),navigate to the green room by passing through the second floor .
F ( first floor & F ( second floor ) ),"from the first floor , navigate to the second floor ."
F ( landmark three & F ( second floor ) ),pass through landmark three on your way to the second floor .
F ( first floor & F ( yellow room ) ),go from the first floor to the yellow room
F ( landmark one & F ( second floor ) ),go through landmark one to the second floor .
~   ( landmark one ) U ( red room ),avoid landmark one until reaching the red room .
F ( landmark two ) & G ( blue room ),stay in the blue room and go to landmark two
F ( first floor & F ( landmark three ) ),go to the first floor then go to landmark three .
F ( landmark two & ~  green room ),always avoid the green room while navigating to landmark two .
F ( red room & F ( purple room ) ),go to the red room and then go to the purple room .
F ( second floor & F ( blue room ) ),navigate to the blue room after going to the second floor .
F ( landmark two & F ( orange room ) ),navigate through landmark two and go to the orange room .
F ( landmark three & F ( green room ) ),navigate to landmark three then continue to the green room .
~   ( red room ) U ( first floor ),avoid the red room until after going to the first floor .
~   ( landmark two ) U ( yellow room ),avoid landmark two until going to the yellow room .
F ( third floor & F ( blue room ) ),navigate to the blue room by passing through the third floor .
F ( landmark two & F ( second floor ) ),go through landmark two before going to the second floor .
F ( red room & ~  landmark three ),avoid landmark three and move into the red room .
F ( yellow room & ~  blue room ),"avoid the blue room , navigate to the yellow room ."
F ( yellow room & F ( landmark one ) ),always go through the yellow room before going to landmark one .
F ( green room ) & G ( second floor ),remain on the second floor while going to the green room .
~   ( purple room ) U ( yellow room ),go to the yellow room while avoiding the purple room and if you have reached the yellow room then you can go to the purple room .
~   ( landmark one ) U ( purple room ),avoid landmark one until you go to the purple room .
F ( third floor & ~  landmark two ),avoid the landmark two and go to the third floor .
F ( red room ) & G ( second floor ),stay on the second floor and go to the red room .
~   ( yellow room ) U ( first floor ),avoid the yellow room until going to the first floor .
F ( third floor & F ( second floor ) ),go to the third floor before you go to the second floor .
F ( orange room & F ( third floor ) ),navigate to the third floor through the orange room .
F ( first floor & ~  green room ),go to the first floor but never go to the green room .
F ( second floor & F ( landmark one ) ),go to the second floor and then to landmark one .
F ( purple room & ~  blue room ),navigate to the purple room but never go to the blue room .
F ( yellow room & F ( red room ) ),go to the yellow room and then go to the red room .
F ( landmark two & F ( red room ) ),go to landmark two before going to the red room
F ( landmark three & F ( landmark two ) ),go to landmark three and proceed to landmark two .
F ( landmark two & F ( orange room ) ),"go to landmark one , then down to the orange room ."
~   ( purple room ) U ( landmark three ),avoid the purple room until landmark three .
F ( purple room & ~  orange room ),go to the purple room without going to the orange room
F ( green room & F ( landmark two ) ),always go through the green room before going to landmark two .
F ( landmark one & F ( first floor ) ),pass through landmark one before going to the first floor .
F ( purple room ) & G ( third floor ),proceed to the purple room without going to third floor  .
F ( third floor & ~  landmark one ),always avoid landmark one and navigate to the third floor .
~   ( blue room ) U ( first floor ),go to or through the first floor always avoid going through the blue room
F ( blue room & F ( orange room ) ),go to the orange room through the blue room .
F ( landmark three & ~  orange room ),go to landmark three while always avoiding the orange room .
F ( green room & F ( landmark three ) ),move to the green room first then travel to landmark three .
~   ( red room ) U ( second floor ),"go to the second floor avoiding the red room . if you reached the second floor you can stay there , or head to the red room ."
~   ( yellow room ) U ( first floor ),go to the first floor avoiding the yellow room . if you get to first floor you can then proceed to the yellow room
F ( landmark three ) & G ( yellow room ),without leaving the yellow room go to landmark three .
F ( blue room & F ( landmark one ) ),go to the blue room before you go to landmark one .
F ( landmark three & F ( second floor ) ),go to landmark three before going to the second floor .
~   ( red room ) U ( landmark two ),always avoid going to landmark two through the red room
F ( green room & ~  red room ),navigate to the green room but never go to the red room .
F ( landmark two ) & G ( third floor ),stay on the third floor and navigate to landmark two .
F ( first floor & F ( yellow room ) ),navigate to the first floor before going to the yellow room .
F ( red room & F ( purple room ) ),go to the red room before going to the purple room .
F ( landmark three & F ( red room ) ),go to the red room by first going through landmark three .
F ( third floor ),move to the third floor .
F ( landmark one & F ( third floor ) ),always pass landmark one to get to level one .
~   ( landmark three ) U ( landmark one ),go to landmark one without first passing through landmark three .
F ( landmark one & ~  red room ),avoid the red room and go to landmark one .
F ( landmark two & F ( purple room ) ),navigate through landmark two and go to the purple room .
F ( red room & F ( third floor ) ),navigate to the third floor via the red room .
F ( orange room & F ( second floor ) ),go to the orange room and go down to the onest floor .
~   ( landmark three ) U ( landmark one ),avoid landmark three until after reaching landmark one .
F ( landmark one & F ( blue room ) ),"first go to landmark one , then go to the blue room ."
F ( purple room & ~  orange room ),always avoid the orange room and go to the purple room .
~   ( landmark two ) U ( yellow room ),go to the yellow room but avoid landmark two. if you reached to the yellow room then you can head to landmark two or stay put .
F ( purple room & ~  red room ),avoid the red room and navigate to the purple room .
F ( third floor & ~  green room ),move to the third floor without entering the green room .
F ( landmark two ) & G ( third floor ),go to landmark two while staying on the third floor .
F ( yellow room & F ( green room ) ),proceed to the green room by going through the yellow room .
F ( third floor & F ( second floor ) ),go through the third floor to the second floor .
F ( landmark one & F ( landmark two ) ),move through landark one to landmark two .
F ( red room & F ( purple room ) ),proceed to the purple room by going through the red room .
~   ( landmark one ) U ( green room ),avoid landmark one until reaching the green room .
~   ( orange room ) U ( first floor ),"go to the first floor without going through the orange room . if you reached the first floor then you can go to the orange room , or be done ."
F ( blue room & F ( second floor ) ),pass through the blue room on your way to the second floor .
F ( orange room & F ( landmark one ) ),head to landmark one after going to the orange room .
F ( red room & F ( landmark two ) ),first go to the red room and then go to landmark two .
F ( landmark two & ~  green room ),"always avoid the green room , go to landmark two ."
F ( landmark three & F ( purple room ) ),go to the purple room by first visiting landmark three .
F ( landmark three & F ( first floor ) ),"go to landmark three , then head to the first floor ."
F ( orange room & ~  green room ),avoid the green room and go to the orange room .
F ( orange room ) & G ( second floor ),go to the orange room without going to another floor .
F ( second floor & F ( blue room ) ),go through the second floor to the blue room
F ( blue room & F ( purple room ) ),go from the blue room to the purple room
~   ( landmark two ) U ( orange room ),avoid landmark two until you go to the orange room .
~   ( orange room ) U ( second floor ),go to the second floor . if you reached the second floor then you may go to the orange room .
F ( yellow room & F ( landmark three ) ),first go to the yellow room and then go to landmark three .
F ( landmark one & ~  purple room ),avoid the purple room and go to landmark one .
F ( orange room & F ( first floor ) ),"go to the orange room , then go to the first floor ."
F ( green room & F ( landmark two ) ),"move to landmark two , but go through the green room first ."
~   ( green room ) U ( purple room ),go to the purple room avoiding the green room . only if you reached the purple room then you may proceed to the green room .
F ( landmark three & F ( blue room ) ),go to the blue room by first visiting landmark three .
F ( blue room & F ( green room ) ),"go through the blue room first , then go to the green room ."
F ( purple room & F ( third floor ) ),navigate to the third floor through the purple room .
F ( blue room & F ( third floor ) ),move to the third floor by going through the blue room
~   ( orange room ) U ( landmark three ),go to landmark three but do not first go through the orange room .
F ( purple room & F ( orange room ) ),go to the purple room before going to the orange room .
F ( first floor & F ( second floor ) ),"move to anywhere on the first floor , then move to anywhere on the second floor ."
F ( landmark three & F ( yellow room ) ),go to the yellow room by first visiting landmark three .
F ( first floor & F ( blue room ) ),go to the blue room through the second floor
F ( purple room & F ( green room ) ),go from the purple room to the green room
F ( red room & F ( landmark three ) ),go to landmark three through the red room
~   ( purple room ) U ( third floor ),"go to the third floor without going through the purple room . if you reached the third floor then you can go to the purple room , or be done ."
F ( landmark three & F ( red room ) ),"go to landmark one , then down to the red room ."
~   ( purple room ) U ( yellow room ),go to or through the yellow room always avoid going to the yellow room through the purple room
F ( landmark three ) & G ( yellow room ),stay in the yellow room and go to landmark three
F ( blue room & F ( landmark three ) ),navigate to landmark three through the blue room .
F ( red room & F ( second floor ) ),go through the red room and navigate to the second floor .
F ( first floor & ~  landmark two ),go to the threerd floor but do not go to landmark two .
F ( landmark three & ~  purple room ),go to landmark three always avoiding the purple room .
F ( yellow room ) & G ( second floor ),stay on the second floor while going to the yellow room .
F ( third floor & ~  landmark two ),avoid landmark two and go to the third floor .
F ( purple room & F ( yellow room ) ),"first navigate to the purple room , then make your way to the yellow room ."
~   ( landmark one ) U ( yellow room ),go to the yellow room avoiding landmark one. if you reached the yellow room then you may go to landmark one .
F ( purple room & F ( third floor ) ),go to the third floor through the purple room .
~   ( red room ) U ( purple room ),go to the purple room avoiding the red room . only if you reached the purple room then you may proceed to the red room .
~   ( landmark two ) U ( blue room ),go to or through the blue room always avoid going to the blue room through landmark two
F ( blue room ),go to the blue room
F ( landmark two ) & G ( first floor ),visit landmark two but do n't leave the first floor .
F ( landmark two ) & G ( second floor ),go directly to second floor and then go to landmark two .
F ( landmark one & F ( red room ) ),navigate to landmark one then continue to the red room .
F ( landmark two & F ( yellow room ) ),go to the yellow room by first going through landmark two .
~   ( green room ) U ( landmark two ),move to landmark two without entering the green room . then you may stay at landmark two or go to the green room .
~   ( landmark two ) U ( red room ),go to the red room by avoiding landmark two and then stay in the red room or continue to landmark two
~   ( green room ) U ( landmark one ),do not go into the green room until going to landmark one
F ( third floor & ~  red room ),go to the third floor and avoid the red room .
F ( green room & ~  red room ),navigate to the green room always avoiding the red room .
~   ( yellow room ) U ( blue room ),go to or through the blue room always avoid going to the blue room through the yellow room
F ( blue room ) & G ( second floor ),go directly to the blue room without going to second floor  .
F ( second floor & ~  purple room ),go to the second floor but avoid the purple room .
F ( landmark one & F ( purple room ) ),navigate to landmark one then continue to the purple room .
F ( blue room ) & G ( third floor ),remain on the third floor and move to the blue room .
F ( third floor & F ( blue room ) ),go from second floor to blue room .
F ( third floor & F ( landmark three ) ),move to landmark three after moving to the third floor .
~   ( yellow room ) U ( landmark one ),avoid the yellow room until going through landmark one .
F ( yellow room & F ( purple room ) ),go to the purple room by first going through the yellow room .
F ( first floor & ~  landmark three ),avoid landmark three and go to the second floor .
~   ( landmark two ) U ( purple room ),avoid going through landmark two until you go through the purple room .
F ( landmark three & ~  landmark one ),always avoid landmark one and navigate to landmark three .
F ( second floor & F ( green room ) ),go from the second floor to the green room .
F ( red room & F ( third floor ) ),pass through the red room on your way to the third floor .
~   ( landmark three ) U ( landmark one ),avoid landmark three and go to landmark one. if you 've reached landmark one then you can go to landmark three .
F ( landmark three & F ( red room ) ),go to landmark three and then go to the red room .
F ( green room & F ( first floor ) ),go through the green room to the first floor .
F ( landmark three & F ( third floor ) ),pass through landmark three on your way to the third floor .
F ( orange room & F ( green room ) ),move to the orange room and then the green room .
~   ( red room ) U ( landmark three ),do n't go into the red room until going to landmark three
F ( second floor & F ( green room ) ),move to the green room but ensure to go to the second floor first .
F ( orange room & F ( yellow room ) ),"go through the orange room first , then go to the yellow room ."
F ( orange room & F ( landmark one ) ),"go through the orange room , then make your way to landmark one ."
F ( second floor & ~  landmark two ),go to the second floor avoiding landmark two .
F ( landmark three ) & G ( second floor ),got to landmark three through the green room .
F ( blue room & F ( landmark three ) ),always go through the blue room before going to landmark three .
F ( landmark one & F ( yellow room ) ),always go through landmark one and then to the yellow room .
~   ( red room ) U ( purple room ),avoid the red room on your way to the purple room . once you get to the purple room you can to the red room .
F ( yellow room & F ( landmark three ) ),navigate to landmark three through the yellow room .
F ( landmark one & F ( blue room ) ),go through landmark one before going to the blue room .
~   ( landmark three ) U ( landmark two ),avoid landmark three and go to landmark two. if you 've reached landmark two then you can go to landmark three .
F ( landmark three ) & G ( third floor ),move to landmark three without leaving the third floor .
F ( third floor ),go to third floor
F ( yellow room & ~  landmark one ),"go to a spot in the yellow room , but do n't touch landmark one ."
F ( landmark three & ~  green room ),avoid the green room and go to landmark three .
F ( purple room ) & G ( third floor ),go directly to the purple room without going to third floor .
F ( green room & F ( red room ) ),go through the green room before going to the red room .
F ( first floor & F ( purple room ) ),go from the first floor to the purple room .
F ( blue room & F ( landmark one ) ),go to landmark one through the blue room
F ( green room & F ( third floor ) ),pass through the green room on your way to the third floor .
F ( second floor & F ( landmark two ) ),go from the second floor to landmark two .
F ( red room & ~  green room ),avoid the green room and travel to the red room .
F ( landmark one & F ( third floor ) ),pass through landmark one before going to the third floor .
~   ( landmark three ) U ( landmark two ),avoid landmark three until navigating to landmark two .
F ( landmark one & F ( yellow room ) ),go to the yellow room by first visiting landmark one .
F ( green room & F ( red room ) ),move to the green room then continue to the red room .
F ( landmark three & F ( orange room ) ),navigate through landmark three and go to the orange room .
~   ( purple room ) U ( landmark two ),go to landmark two but do not enter the purple room first .
F ( landmark two ) & G ( red room ),go directly to landmark two and do not leave the red room .
F ( orange room & ~  red room ),go to the orange room without going to the red room .
~   ( landmark three ) U ( blue room ),"go to the blue room by avoiding landmark three. if you reached the blue room , then you can proceed to landmark three ."
F ( third floor & ~  red room ),always avoid the red room while navigating to the third floor .
F ( landmark one & F ( second floor ) ),always pass landmark one to get to level one .
F ( landmark two ) & G ( second floor ),stay on the second floor while navigating to landmark two .
F ( red room & F ( third floor ) ),"move to the third floor , travelling through the red room ."
F ( landmark three & F ( purple room ) ),navigate through landmark three and go to the purple room .
~   ( blue room ) U ( first floor ),avoid the blue room until you go to the first floor .
F ( landmark one ) & G ( yellow room ),"proceed to landmark one , but never move outside of the yellow room ."
~   ( landmark three ) U ( green room ),go through the green room before going to landmark three
F ( landmark three ) & G ( blue room ),go directly to landmark three and do not leave the blue room .
~   ( yellow room ) U ( landmark two ),do not go into the yellow room until going to landmark two
~   ( blue room ) U ( first floor ),go to the first floor . if you reached the first floor then you may go to the blue room .
~   ( purple room ) U ( first floor ),"go to the first floor without going through the purple room . if you reached the first floor then you can go to the purple room , or be done ."
F ( first floor & F ( landmark three ) ),go to the first floor then go landmark three .
F ( yellow room & ~  landmark two ),"go to a spot in the yellow room , but do n't touch landmark two ."
F ( purple room ) & G ( third floor ),proceed to the purple room but do n't leave the third floor .
F ( landmark one & F ( purple room ) ),"first go to landmark one , then go to the purple room ."
F ( landmark one & F ( red room ) ),go through landmark one to the red room .
F ( green room ),go to the green room .
F ( landmark two & F ( green room ) ),go to the green room through landmark two .
~   ( landmark one ) U ( yellow room ),avoid landmark one until after the yellow room
F ( purple room & F ( red room ) ),go through the purple room before going to the red room .
F ( landmark three ) & G ( blue room ),go directly to landmark three by only moving in the blue room .
~   ( red room ) U ( first floor ),"avoid the red room and go to the first floor . if you reached the first floor then you may go to the red room , or just stay on the first floor ."
~   ( orange room ) U ( red room ),avoid the orange room until after you 've gone to the red room .
~   ( red room ) U ( landmark three ),avoid the red room until you navigate to landmark three .
F ( third floor & F ( green room ) ),go to the green room through the third floor
~   ( orange room ) U ( third floor ),avoid the orange room until going to the third floor .
F ( landmark two ) & G ( green room ),go to landmark two by only stepping in the green room .
F ( blue room & F ( first floor ) ),visit the blue room and then move to the first floor .
F ( blue room & F ( green room ) ),proceed to the green room by going through the blue room .
F ( first floor & ~  blue room ),go to the first floor while always avoiding the blue room .
~   ( landmark two ) U ( purple room ),avoid landmark two until navigating to the purple room .
F ( yellow room & F ( landmark one ) ),always go through the yellow room and then to landmark one .
F ( third floor & ~  orange room ),move to the third floor without entering the orange room .
F ( landmark three & ~  purple room ),always avoid the purple room while navigating to landmark three .
F ( third floor ),navigate directly to the third floor .
F ( landmark three ) & G ( green room ),go to landmark three and remain within the green room .
F ( blue room & F ( landmark three ) ),move to the blue room and then move to landmark three .
F ( landmark two & F ( green room ) ),navigate to landmark two then continue to the green room .
F ( third floor & F ( landmark one ) ),go to the third floor and then to landmark one .
F ( red room & F ( landmark two ) ),go to the red room before you go to landmark two .
F ( landmark two & F ( green room ) ),go through landmark two and navigate to the green room .
F ( third floor & F ( first floor ) ),go to the third floor before you go to the first floor .
~   ( blue room ) U ( landmark three ),"go to landmark three , avoid the blue room until you have been to the landmark ."
~   ( red room ) U ( landmark one ),avoid the red room until landmark one .
F ( orange room & ~  green room ),go to the orange room without going to the green room
F ( third floor ),go to the third floor .
F ( first floor & ~  green room ),avoid the green room
~   ( purple room ) U ( landmark one ),avoid the purple room until going through landmark one .
F ( landmark one & F ( orange room ) ),always go to landmark one before navigating to the orange room .
F ( blue room & F ( purple room ) ),go to the purple room through the blue room .
~   ( landmark one ) U ( red room ),go through the red room before going to landmark one
F ( landmark three ) & G ( first floor ),go to landmark three .
F ( third floor & F ( red room ) ),go to the red room through the third floor
F ( landmark three & ~  yellow room ),go to landmark three while always avoiding the yellow room .
F ( yellow room ) & G ( second floor ),move to the yellow room without leaving the second floor .
F ( orange room & ~  landmark three ),always avoid landmark three and navigate to the orange room .
~   ( red room ) U ( orange room ),go to the orange room while avoiding the red room and if you have reached the orange room then you can go to the red room .
F ( first floor & F ( green room ) ),go from the first floor to the green room
~   ( yellow room ) U ( purple room ),avoid the yellow room until you enter the purple room .
F ( purple room ) & G ( second floor ),proceed to the purple room without going to second floor .
~   ( landmark three ) U ( green room ),avoid landmark three until you pass through green room .
F ( purple room & F ( green room ) ),always go through the purple room to get to the green room .
F ( red room & ~  landmark three ),go to the red room avoiding landmark three .
F ( yellow room & F ( orange room ) ),go to the orange room through the yellow room .
~   ( landmark two ) U ( green room ),avoid landmark two until you go to the green room .
F ( second floor & F ( landmark one ) ),go to onest floor . then go directly to landmark one
F ( blue room & ~  landmark one ),go to the blue room while avoiding landmark one
F ( green room & ~  landmark two ),go to the green room without touching landmark two .
~   ( green room ) U ( purple room ),go to the purple room and if you have reached the purple room you may proceed to the green room or stay in the purple room .
F ( red room & ~  blue room ),"go to red room , but do not go to blue room ."
F ( blue room & ~  landmark one ),go to the blue room avoiding landmark one .
~   ( purple room ) U ( blue room ),avoid the purple room on your way to the blue room . once you get to the blue room you can to the purple room .
F ( purple room & F ( green room ) ),go to the purple room and then navigate to the green room .
~   ( landmark one ) U ( blue room ),go to the blue room by avoiding landmark one and then stay in the blue room or continue to landmark one
F ( landmark three & F ( blue room ) ),go to landmark three and then the blue room
F ( yellow room & ~  red room ),go to the yellow room while always avoiding the red room
F ( orange room & ~  purple room ),go to the orange room and avoid the purple room .
F ( landmark three ) & G ( first floor ),go to landmark three only through the second floor
~   ( red room ) U ( landmark one ),avoid the red room until going to landmark one .
F ( red room & F ( yellow room ) ),go from the red room to the yellow room
F ( landmark two ) & G ( purple room ),without leaving the purple room go to landmark two .
F ( yellow room ),head to the yellow room .
F ( landmark one & ~  orange room ),go to landmark one and avoid the orange room .
F ( orange room & ~  landmark two ),avoid landmark two and go to the orange room .
~   ( landmark one ) U ( orange room ),avoid landmark one until navigating to the orange room .
F ( yellow room & F ( orange room ) ),go from the yellow room to the orange room
F ( third floor & ~  landmark one ),navigate to the third floor and avoid landmark one .
~   ( purple room ) U ( blue room ),avoid the purple room until after navigating to the blue room .
F ( landmark one ) & G ( green room ),stay in the green room and go to landmark one .
F ( yellow room & F ( landmark three ) ),go to landmark three through the yellow room
F ( second floor & ~  landmark one ),go to the second floor avoiding landmark one .
F ( landmark two ) & G ( second floor ),stay on the second floor to get to landmark two .
F ( first floor & ~  orange room ),avoid the orange room
~   ( orange room ) U ( green room ),avoid the orange room on your way to the green room . once you get to the green room you can to the orange room .
F ( landmark three & F ( landmark one ) ),go to landmark three then go to landmark one .
F ( green room & F ( red room ) ),"go to the green room , then go to the red room ."
F ( yellow room & ~  red room ),avoid the red room and navigate to the yellow room .
F ( first floor & F ( landmark two ) ),navigate to the first floor then continue to landmark two .
~   ( red room ) U ( third floor ),go to or through the second floor while avoiding going through the red room
~   ( green room ) U ( purple room ),avoid the green room until going to the purple room .
F ( landmark three & ~  red room ),always avoid the red room to navigate to landmark three .
F ( landmark two & F ( yellow room ) ),navigate through landmark two and go to the yellow room .
F ( purple room & F ( orange room ) ),go through the purple room before going to the orange room .
F ( landmark three ) & G ( red room ),go directly to landmark three by only moving in the red room .
F ( landmark two & F ( red room ) ),navigate through landmark two and go to the red room .
F ( blue room & F ( landmark two ) ),go to landmark two through the blue room .
~   ( landmark one ) U ( orange room ),avoid going through landmark one until you go through the orange room .
F ( yellow room & F ( purple room ) ),"go to the yellow room , then go to the purple room ."
F ( orange room & F ( green room ) ),go through the orange room to the green room .
